1352Oakland,1353Oakland,1354Oakland,1355Oakland,1356Oakland,1357Oakland,1358Oakland,1359Oakland,1360Oakland,1361Oakland,1362Oakland,1363Oakland,1364Oakland,1365Oakland,1366Oakland,1367Oakland,1368Oakland,1369Oakland,1370Oakland,1371Oakland,1372Oakland,1373Oakland,1374Oakland,1375Oakland,1376Oakland,1377Oakland,1378Oakland,1379Oakland,1380Oakland,1381Oakland,1382Oakland,1383Oakland,1384Oakland,1385Oakland,1386Oakland,1387Oakland,1388Oakland,1389Oakland,1390Oakland,1391Oakland,1392Oakland,1393Oakland,1394Oakland,1395Oakland,1396Oakland,1397Oakland,1398Oakland,1399Oakland,1400Oakland,1401Oakland,1402Oakland,1403Oakland,1404Oakland,1405Oakland,1406Oakland,1407Oakland,1408Oakland,1409Oakland,1410Oakland,1411Oakland,1412Oakland,1413Oakland,1414Oakland,1415Oakland,1416Oakland,1417Oakland,1418Oakland,1419Oakland,1420Oakland,1421Oakland,1422Oakland,1423Oakland,1424Oakland,1425Oakland,1426Oakland,1427Oakland,1428Oakland,1429Oakland,1430Oakland,1431Oakland,1432Oakland,1433Oakland,1434Oakland,1435Oakland,1436Oakland,1437Oakland,1438Oakland,1439Oakland,1440Oakland,1441Oakland,1442Oakland,1443Oakland,1444Oakland,1445Oakland,1446Oakland,1447Oakland,1448Oakland,1449Oakland,1450Oakland,1451Oakland
7865,7238,7652.2,6373.5,5809.9,5337.6,5945.7,4009.8,2333.6,2933.5,0,508.2,1866,2019,2529.9,2448,3403.9,3736.2,3516.3,2766.9,3724.8,4696.2,4521.5,4638,5086.7,4327.8,4959.1,6269.7,6074.3,6080.2,6576.4,6378.9,8670.1,8952.8,13065.4,13270.4,14123.6,16423.2,10024.3,9292.5,8693.4,7477.8,6776.8,6179.7,5483.6,5067.5,5678.5,6096,6235.5,6995.9,7593.6,7195.1,6871.3,6211.5,6234.3,8152,7336.2,7896.7,8214.4,8922.7,8979.6,10216.8,8738.3,10183.5,10820,11631.9,10339.3,8979.6,9639.4,8715.3,9954.1,10530.5,11495.3,11145.8,12027.6,11712.3,11960.1,13255,15036.1,13560.6,14685.5,14388.4,13337.7,13084.1,12356.6,12448.7,15237.7,15275.7,14934.8,15866.9,16079.5,14291,13861.6,14106.8,15009.1,15486,18961,21532,18426.4,17711.1
7858.5,7231.6,7645.7,7278.5,6487.4,5098.2,5706.3,4386.8,2445.7,2976.5,508.2,0,1934.4,1455.3,1966.2,2697.9,3441.6,3865.2,2952.6,2203.2,3161.1,4932.5,4757.8,4874.3,5323,4564.1,5195.4,6506,6469.1,5704.3,6337,6002.9,8294.2,8946.3,13058.9,13264,14117.1,16416.7,10385.2,8991.6,8129.7,7215.3,7013.1,5877.8,4919.9,4503.8,5114.8,5532.3,5671.8,6432.2,7029.9,6631.3,6307.6,5647.8,5670.6,7588.3,6772.5,7333,7650.7,8359,8415.9,11800.5,10322.1,9882.5,12403.8,13215.6,11923,8415.9,9075.7,8151.6,9390.4,9966.8,10931.6,10582.1,11463.9,13296,13543.8,12954.1,16619.8,13089.5,16269.2,13824.7,12774,12520.4,11792.9,11885,14673.9,14712,14371.1,15303.2,15515.8,13727.3,13297.9,13543.1,14445.4,14922.3,20544.8,23115.7,17692.7,17147.4
6189.7,5562.7,5976.9,5096.6,4818.6,3684.6,4309.2,2302.3,626.1,3141.7,1866,1954.9,0,1202.5,1327.2,772.8,1696.4,2314.7,2313.5,1841.9,3093.4,2988.7,2814,2930.5,3379.2,2620.3,3251.6,4562.2,4366.8,3760.5,4940,4059.1,6350.4,7277.5,11390.1,11595.2,12448.3,14747.9,8316.8,7585,6633.3,5770.3,5069.3,4472.2,4280.8,3864.8,4475.7,4893.2,5032.7,5649.6,5796.9,6518.4,6194.7,5534.9,5600.6,7518.3,6596.1,7117.2,7474.3,6862.6,7981.2,8509.3,7030.8,8476,9112.5,9924.4,8631.8,8239.4,8899.3,7935.8,9320.4,9201.1,10166,9816.5,10997.4,10004.8,10252.6,11547.5,13328.6,11853.1,12978,14105.8,12008.4,12103.6,11027.3,11072.6,14603.9,14642,14301,15233.2,15445.7,13657.3,12890,12777.5,13869.3,15981.4,17253.5,19824.5,16718.9,16839.5
6498.7,5871.8,6285.9,5918.7,5127.6,4391.5,5016,3009.1,1731.3,3755.1,1985.3,1440.7,1202.5,0,588.5,1320.2,2104.3,2527.9,1574.9,1103.3,2373.5,3595.1,3420.5,3536.9,3985.7,3226.8,3858,5168.6,5109.3,4366.9,5056.6,4665.6,6956.8,7586.5,11699.1,11904.2,12757.3,15056.9,8384.1,9516.5,6465.4,5837.6,5675.8,4500.1,3542.2,3126.2,3737.1,4154.6,4294.1,5054.5,6178.4,5779.8,5456.1,4796.3,4880.6,6798.4,5857.5,6378.6,6735.7,6929.9,7500.8,10440.7,8962.3,10407.4,11044,11855.8,10563.2,7500.8,8160.7,7197.2,8600.5,8462.5,9427.4,9077.9,9959.7,11936.2,12184,15857.9,15260,13784.5,14909.4,12320.5,11269.8,11016.2,10288.7,10334,11275,13922.1,13581.1,14513.2,14725.8,12937.4,12151.4,12038.9,12941.2,13418.1,19184.9,21755.9,18650.3,14132.6
8968.3,8341.3,8755.5,8388.3,7597.2,6366.8,6187.6,4469.4,5139.6,7394.3,5023.2,4478.6,4431.4,3692.9,0,4075.9,3453.9,3129.3,2310,2699,1784.9,4944.8,4770.1,4509.4,5335.3,4576.4,5207.7,5476.9,6322.9,5716.6,6406.2,6015.3,8306.5,10056.1,14168.7,14373.8,11695.5,12304.9,9264.8,7871.2,7009.2,6085.1,5984,4841.4,3751.1,3335,3792.4,4034.7,4512.1,5301.9,5909.5,5510.9,5187.2,4527.4,4292.1,6209.8,5652.1,7081.2,6530.3,7238.6,7295.5,9014.5,7536.1,8762.1,9617.8,10963.1,9457.7,8305.7,8706.5,7514.6,8011.9,8588.2,9553.1,9203.6,10085.4,10510,11291.3,11833.7,13833.8,11711,13056.9,12446.2,11395.5,11141.9,10414.4,10506.5,13295.4,13333.5,12992.6,13924.7,14137.3,12348.8,11919.4,12164.6,13066.9,13543.8,17758.7,19859.7,16314.2,15768.9
5681.9,5054.9,5469,5101.8,4310.7,3130.9,3755.4,1748.5,1134.4,3554.5,2398.3,2541.9,723,1179.9,818,0,1034.8,1686.5,1804.3,1332.7,2585.5,2434.9,2260.3,2376.7,2825.5,2066.6,2697.8,4008.4,3813,3206.7,4386.2,3505.4,5796.6,6769.6,10882.2,11087.3,11940.4,14240.1,7763.1,7031.3,6079.5,5216.6,4515.6,3918.4,3771.7,3355.6,3966.6,4384,4523.5,5095.9,5243.2,6009.2,5685.5,5025.7,5092.7,7010.4,6086.9,6608,6965.1,6308.9,7427.5,7955.6,6477.1,7922.2,8558.8,9370.6,8078,7730.3,8390.1,7426.6,8812.5,9388.9,10353.7,10004.2,10443.7,9451,9698.8,10993.7,12774.8,11299.3,12424.3,13552,12196.1,11549.9,11215,11307.1,14096,14134.1,13793.2,14725.3,14937.9,13149.4,12720,12965.2,13315.6,15427.6,16699.8,19270.8,16165.1,16285.7
5647,5020.1,5434.2,5067,4275.9,3023.8,3648.3,1308.6,1568.2,3988.2,2873.5,2934.7,1198.2,1572.7,1182.5,752.5,0,869.8,1340.2,921.1,2359.5,1937,1762.4,1878.8,2327.6,1568.7,2199.9,3510.5,3315.1,2708.8,3398.5,3007.5,5298.7,6734.8,10847.4,11052.5,11905.6,14205.2,7265.2,6533.4,5581.6,4718.7,4017.7,3420.5,3307.5,2891.4,3502.4,3919.9,4059.3,4598,4745.3,5545.1,5221.3,4561.6,4342.1,6393.3,5622.7,6143.9,6501,5811,6929.5,7457.7,5979.2,7424.3,8060.9,8872.7,7580.1,7266.1,7926,6962.4,8594.7,8227.8,9192.7,9433.5,9945.8,8953.1,9200.9,10495.8,12276.9,10801.4,11926.3,13054.1,11035,11052,10743.6,10099.3,11040.3,13916.3,13575.3,14507.5,14720,11868.7,11916.6,11804.1,12817.7,14929.7,16201.9,18772.9,15667.2,15787.8
5916,5289.1,5703.2,5336,4544.9,3017.5,3161.6,1672.8,2347.2,4767.3,3956.5,3412,1670.7,2111.3,1749.4,1225,500.5,0,1269.2,1271.1,2288.5,1918.8,1744.1,1860.6,2309.4,1550.4,2181.7,3492.3,3296.9,2690.6,3380.2,2989.3,5280.5,7003.8,11116.4,8076.5,8929.6,10287,7247,6515.2,5563.4,4700.4,3999.4,3402.3,3236.5,2820.5,3431.4,3848.9,3988.4,4579.7,4727.1,5474.1,5150.3,4490.6,4271.1,6322.4,5551.8,6072.9,6430,5792.8,6911.3,7439.4,5961,7406.1,8042.7,8854.5,7561.9,7195.1,7855,6891.5,8523.7,8156.8,9121.7,9415.3,9927.5,8934.9,9182.7,10477.6,12258.7,10783.2,11908.1,13035.9,10964.1,11033.8,10725.3,10028.3,10969.3,13845.3,13504.4,14436.5,14649.1,11797.7,11845.7,11733.2,12799.4,14911.5,16183.6,18754.6,15649,15769.6
7072.4,6445.5,6859.6,6492.4,5701.3,4421.3,4242.1,2523.9,2965.7,5386.2,3161.7,2617.2,2594.4,1855.8,1630.2,2150.1,1508.4,1221.8,0,753.5,1019.5,2999.3,2824.6,2941.1,3389.9,2630.9,3262.2,4572.8,4377.4,3771.1,4460.7,4069.8,6361,8160.2,12272.8,12477.9,9581,10190.4,7150.3,6766.4,5904.5,4603.8,5079.9,3266.3,2308.4,1892.3,2503.3,2920.8,3060.3,3820.7,4804.7,4406.2,4082.4,3422.6,2997.7,5437.9,4547.3,5107.8,5425.6,6133.8,6190.7,7909.8,6431.3,7657.4,8513,9324.8,7547.6,6190.7,6850.6,5926.4,7240,7191.8,8156.7,7807.1,8688.9,9405.3,9653,10728.9,12729,10314.6,12378.5,11049.7,9999,9745.4,9017.9,9063.3,10004.2,12561.6,12220.6,13152.7,13365.3,10729.7,10880.6,10768.1,11670.4,12147.3,16654,19225,13407.1,12861.8
6322.2,5695.2,6109.4,5742.1,4951,4144.5,3965.3,2247.1,2335.2,4913.2,2688.7,2144.2,1793.4,1241.8,879.9,1418.8,1231.6,1655.3,702.3,0,1490.6,2722.5,2547.8,2664.3,3113,2354.1,2985.4,4296,4100.6,3494.3,4183.9,3793,6084.2,7409.9,11522.5,11727.6,12580.7,14880.4,7511.5,6689.9,5592.7,4965,4803.1,3627.5,2669.6,2253.5,2864.5,3282,3421.5,4181.9,5305.7,4907.2,4583.4,3923.7,3468.8,5755.5,4984.8,5506,5863.1,6057.3,6628.2,8243.1,6764.7,7580.8,8846.4,9658.2,8365.6,6628.2,7288.1,6324.5,7721.5,7589.9,8554.8,8205.2,9087,9738.6,9986.4,10652.4,13062.4,10712.7,12711.8,11447.8,10397.1,10143.6,9416.1,9461.4,10402.4,13043.1,12702.1,13634.2,13846.8,11230.8,11278.7,11166.2,12068.5,12545.5,16987.3,19558.3,13805.2,13259.9
12297.1,11670.1,12084.3,11717.1,10926,10356.9,10116.9,7642.5,8084.3,10862.5,8246.5,7702,7768.3,7216.8,6854.9,7393.7,6627,6274.7,5423.3,5838.3,0,7216.4,7347.8,7190.8,7607,6848,6530.1,7961.9,8151.4,9402.1,10099.7,9700.8,11992,13384.9,13937.2,9700.9,10900.1,11509.4,8469.4,7075.8,6213.8,6590.5,7233.5,5809.1,5489.2,4578.2,4323.9,3863.9,4604.6,5110.1,5114,4715.5,4053.2,3420.7,2500.7,4418.4,4518.4,5289.8,6446.7,6443.2,6592.1,7923.8,6740.6,7966.7,8761.6,9171.7,7666.3,6514.2,6915.1,5723.2,6220.5,6796.8,7761.7,7412.1,8293.9,9360.1,9499.9,11038.2,12977.6,9919.6,11265.5,10654.7,9604,9350.5,8623,8715.1,11504,11542.1,11201.1,12133.3,12345.8,10557.4,10127.9,10373.1,11275.4,11752.4,16525.8,18068.2,14522.8,13977.5
6749,6122.1,6536.2,6510.3,5719.2,3616.5,4055.4,2271.8,3180.2,5600.3,4980.5,5176.3,3416.8,3875.6,3513.7,2625.1,2250,1932.8,3033.5,3035.4,3199.2,0,1948.9,1393.5,1159.5,1009.5,958.5,2269.1,2073.7,3340.7,4038.2,3639.3,5930.5,7836.8,11949.4,6160.4,8454.5,9063.8,6023.8,5292,4340.2,3477.3,2776.2,2179.1,2299.2,2781.1,3392.1,3339.6,2810.9,3356.5,3503.9,4093.8,5555.4,4985.5,5177.4,7168.5,6716.3,6595,5851.8,4569.6,5688.1,6216.2,4737.8,6182.9,6819.5,7631.3,6338.7,7291,8212.1,7071.5,9352.9,8186.6,9018,8192.1,8704.4,7711.7,7959.5,9254.4,11035.5,9560,10684.9,11812.7,10680.2,9810.6,9502.1,10661.2,11883.3,14778,14437.1,15369.2,14316.9,13472.8,12759.7,11791.4,11576.2,13688.3,14960.4,17531.4,14425.8,14546.4
5346.2,3313.2,5133.4,4223.1,3432,2116.9,2037.4,652.6,2701.2,5121.2,4501.4,4697.2,2937.8,3396.6,3034.7,2146.1,1770.9,1705.6,2554.5,2556.4,2972,1650,0,688.7,1523.8,1144.5,1952.5,2987.6,1600.2,1566.4,2256,1865,4156.3,4585.2,10546.6,7049.8,7902.9,9769.6,6729.6,6004.8,5046,4183.1,3494.7,2897.6,3358.2,3293.8,3904.8,4322.3,4527.8,4062.3,4209.7,4799.6,6261.2,5691.3,4950.2,7881.4,7429.1,7307.8,6564.6,5275.4,6400.9,6929.1,5450.6,6895.7,7532.3,8344.1,7051.5,8003.8,8925,7784.3,10065.8,8899.5,9730.8,8904.9,9417.2,8424.5,8672.3,9967.2,11748.3,10272.8,11397.8,12525.5,11393.1,10523.4,10215,11374,12596.2,14514.1,14173.1,15105.3,15029.8,14185.6,13472.5,12504.2,12289.1,14401.1,15673.3,18244.3,15138.6,15259.2
4444.1,3469.1,5062.5,4692.8,3901.7,2433.4,2193.3,1066.1,2832.1,5252.2,4632.3,4828.2,3068.7,3527.5,3165.6,2277,1901.9,1584.7,2685.4,2687.3,2851.1,1529,553.8,0,649.7,792.6,1436.1,2471.2,1083.8,1478.6,2176.1,1777.2,4068.4,4741.2,10475.7,6730,7583.1,9449.8,6409.7,5685,4726.2,3863.2,2978.3,2381.2,2841.8,3172.9,3783.8,4201.3,3420.4,3742.5,3889.9,4479.8,5941.4,5371.5,4829.3,7561.6,7109.3,6988,6244.8,4955.6,6081.1,6609.3,5130.8,6575.9,7212.5,8024.3,6731.7,7684,8605.2,7464.5,9746,8579.6,9411,8585.1,9097.4,8104.7,8352.5,9647.4,11428.5,9953,11077.9,12205.7,11073.3,10203.6,9895.2,11054.2,12276.4,14393.2,14052.2,14984.3,14710,13865.8,13152.7,12184.4,11969.3,14081.3,15353.5,17924.5,14818.8,14939.4
4865.6,3890.7,5107.7,4961.1,4170,2854.9,2614.8,1715.9,3265.2,5685.2,5065.4,5261.3,3501.8,3960.6,3598.7,2710.1,2335,2017.8,3118.5,3120.4,3284.2,1462.9,1203.5,649.7,0,1094.5,600.7,1840.3,887.4,1900.1,2597.7,2198.7,4490,5162.7,8404.7,5452.3,8025.6,8635,5594.9,4863.1,3911.4,3048.4,2347.4,1750.3,2210.9,2692.8,3303.8,3251.3,2789.5,2927.7,3075,3665,5126.5,4556.7,4913.2,6739.7,6287.4,6166.2,5422.9,4140.7,5259.3,5787.4,4308.9,5754,6390.6,7202.4,5909.9,6862.1,7783.3,6642.7,8924.1,7757.8,8589.1,7763.3,8275.5,7282.9,7530.7,8825.6,10606.6,9131.2,10256.1,11383.9,10251.4,9381.7,9073.3,10232.3,11454.5,14349.2,14008.2,14940.4,13888.1,13043.9,12330.9,11362.5,11147.4,13259.5,14531.6,17102.6,13997,14117.5
6075.1,5448.1,5862.3,5495,4704,2794.9,2752.7,1450.2,2506.3,4926.3,4306.5,4502.3,2742.9,3201.7,2839.8,1951.2,1576,1258.8,2359.6,2361.5,2525.2,704,1127.2,792.6,1094.5,0,966.9,2277.4,2082,2341.1,3038.7,2639.7,4931,7162.8,11275.4,6168.7,8462.8,9072.1,6032.1,5300.3,4348.6,3485.6,2784.6,2187.5,2307.5,2847,3458,3875.5,2819.2,3364.9,3512.2,4102.2,5563.7,4993.9,4503.5,7176.9,6724.6,6603.4,5860.1,4577.9,5696.5,6224.6,4746.1,6191.2,6827.8,7639.6,6347,7299.3,8220.5,7079.8,9361.3,8195,9026.3,8200.4,8712.7,7720.1,7967.8,9262.8,11043.8,9568.4,10693.3,11821,10688.6,9818.9,9510.5,10669.5,11891.7,14067.3,13726.4,14658.5,14325.3,13481.1,12768.1,11799.7,11584.6,13696.6,14968.8,17539.8,14434.2,14554.7
